"geneID"	"percentMeth"
"g10757"	0
"g10758"	0
"g10759"	0
"g1076"	0
"g10760"	0
"g10761"	0
"g10762"	0
"g10764"	85.714286
"g10766"	0
"g10767"	0
"g10768"	0
"g10769"	0
"g1077"	7.692308
"g10770"	0
"g10771"	0
"g10772"	0
"g10773"	85.2941175
"g10774"	92.307692
"g10776"	0
"g10777"	0
"g10778"	0
"g10779"	0
"g1078"	0
"g10780"	0
"g10781"	0
"g10782"	0
"g10783"	0
"g10784"	0
"g10785"	37.5
"g10786"	0
"g10787"	0
"g10788"	0
"g10789"	60
"g1079"	0
"g10790"	71.4285715
"g10791"	22.222222
"g10792"	0
"g10793"	0
"g10794"	83.333333
"g10795"	80.357143
"g10797"	0
"g10798"	0
"g10799"	86.6666665
"g108"	0
"g10800"	0
"g10801"	0
"g10803"	0
"g10804"	0
"g10805"	0
"g10806"	0
"g10807"	0
"g10808"	0
"g10809"	0
"g10810"	0
"g10812"	0
"g10813"	0
"g10814"	0
"g10815"	0
"g10816"	0
"g10817"	0
"g10818"	0
"g10819"	0
"g1082"	0
"g10820"	0
"g10822"	0
"g10823"	0
"g10824"	0
"g10825"	0
"g10826"	0
"g10828"	0
"g10829"	0
"g1083"	0
"g10831"	0
"g10832"	0
"g10833"	0
"g10834"	0
"g10835"	0
"g10836"	0
"g10837"	0
"g10838"	0
"g10839"	0
"g1084"	0
"g10840"	0
"g10841"	0
"g10842"	0
"g10843"	0
"g10844"	0
"g10845"	0
"g10846"	2.380952
"g10847"	0
"g10848"	0
"g10849"	0
"g1085"	86.666667
"g10850"	0
"g10851"	0
"g10852"	0
"g10853"	30
"g10854"	0
"g10855"	0
"g10856"	0
"g10857"	8.3333335
"g10858"	0
"g10859"	0
"g1086"	77.777778
"g10860"	100
"g10862"	0
"g10863"	33.3333335
"g10864"	93.75
"g10865"	0
"g10866"	0
"g10867"	0
"g10868"	6.25
"g10869"	8.333333
"g1087"	0
"g10871"	0
"g10872"	0
"g10873"	0
"g10874"	0
"g10875"	8.333333
"g10877"	0
"g10878"	0
"g10879"	8.333333
"g1088"	0
"g10880"	0
"g10881"	0
"g10882"	0
"g10883"	0
"g10884"	0
"g10885"	0
"g10886"	0
"g10887"	0
"g10888"	0
"g10889"	0
"g1089"	0
"g10890"	0
"g10891"	4.761905
"g10892"	0
"g10893"	20.869565
"g10894"	4.173913
"g10895"	0
"g10896"	69.230769
"g10897"	54.545455
"g10898"	0
"g10899"	0
"g109"	0
"g1090"	0
"g10900"	0
"g10901"	0
"g10902"	0
"g10903"	80
"g10904"	0
"g10905"	0
"g10906"	0
"g10907"	0
"g10908"	0
"g10909"	0
"g1091"	0
"g10910"	0
"g10911"	0
"g10912"	0
"g10913"	80
"g10915"	80.15873
"g10916"	65
"g10917"	0
"g10918"	0
"g10919"	0
"g1092"	0
"g10920"	0
"g10921"	0
"g10922"	0
"g10923"	0
"g10924"	0
"g10925"	0
"g10926"	0
"g10927"	0
"g10928"	0
"g10929"	0
"g1093"	0
"g10930"	0
"g10931"	0
"g10932"	0
"g10933"	0
"g10934"	0
"g10935"	0
"g10936"	41.4285715
"g10937"	0
"g10938"	0
"g10939"	0
"g1094"	0
"g10940"	0
"g10941"	0
"g10942"	57.142857
"g10943"	0
"g10944"	0
"g10945"	0
"g10946"	0
"g10947"	0
"g10948"	0
"g10949"	0
"g1095"	58.333333
"g10950"	0
"g10951"	0
"g10952"	0
"g10953"	0
"g10954"	0
"g10955"	0
"g10956"	0
"g10957"	40
"g10958"	0
"g10959"	0
"g1096"	80
"g10960"	0
"g10961"	0
"g10962"	0
"g10963"	0
"g10964"	0
"g10965"	0
"g10966"	0
"g10968"	66.666667
"g10969"	0
"g1097"	12.5
"g10970"	0
"g10971"	0
"g10972"	0
"g10973"	0
"g10974"	0
"g10975"	0
"g10977"	16.666667
"g10978"	0
"g10979"	0
"g1098"	0
"g10980"	0
"g10981"	0
"g10982"	0
"g10983"	0
"g10984"	0
"g10985"	0
"g10986"	0
"g10987"	0
"g10988"	0
"g10989"	0
"g1099"	0
"g10990"	0
"g10991"	0
"g10992"	0
"g10993"	0
"g10994"	0
"g10995"	0
"g10996"	0
"g10997"	0
"g10998"	0
"g10999"	0
"g11"	75
"g110"	0
"g1100"	0
"g11000"	0
"g11001"	0
"g11002"	0
"g11003"	0
"g11004"	0
"g11005"	0
"g11006"	0
"g11007"	70.4545455
"g11008"	70.588235
"g11009"	0
"g1101"	0
"g11010"	0
"g11011"	0
"g11012"	0
"g11013"	0
"g11014"	0
"g11015"	0
"g11016"	0
"g11017"	0
"g11019"	0
"g1102"	0
"g11020"	0
"g11021"	0
"g11022"	0
"g11023"	53.846154
"g11024"	0
"g11025"	22.222222
"g11026"	0
"g11029"	15
"g1103"	0
"g11030"	0
"g11031"	0
"g11032"	0
"g11033"	0
"g11034"	0
"g11035"	0
"g11036"	0
"g11037"	0
"g11038"	11.111111
"g11039"	0
"g1104"	0
"g11040"	85.714286
"g11041"	77.5
"g11042"	0
"g11043"	0
"g11045"	71.428571
"g11046"	40
"g11047"	0
"g11048"	0
"g11049"	0
"g1105"	0
"g11050"	0
"g11051"	0
"g11052"	0
"g11053"	81.818182
"g11054"	0
"g11055"	0
"g11056"	0
"g11057"	0
"g11058"	0
"g11059"	0
"g1106"	0
"g11060"	62.5
"g11061"	100
"g11062"	66.666667
"g11063"	72.222222
"g11064"	50
"g11065"	0
"g11066"	0
"g11067"	0
"g11068"	0
"g11069"	0
"g1107"	0
"g11070"	0
"g11071"	0
"g11072"	0
"g11073"	0
"g11074"	0
"g11075"	0
"g11076"	0
"g11077"	0
"g11078"	0
"g11079"	0
"g1108"	0
"g11080"	0
"g11081"	0
"g11082"	67.032967
"g11083"	9.065934
"g11084"	54.545455
"g11085"	42.95977
"g11087"	2.3809525
"g11088"	0
"g11089"	0
"g1109"	0
"g11090"	0
"g11091"	0
"g11092"	0
"g11093"	42.857143
"g11094"	0
"g11095"	100
"g11096"	0
"g11097"	0
"g11098"	0
"g11099"	0
"g111"	0
"g1110"	0
"g11100"	0
"g11101"	0
"g11102"	0
"g11103"	0
"g11104"	89.89899
"g11105"	85.714286
"g11106"	57.142857
"g11107"	0
"g11108"	0
"g11109"	0
"g1111"	0
"g11110"	0
"g11111"	0
"g11112"	0
"g11113"	0
"g11114"	0
"g11115"	0
"g11116"	70.979021
"g11117"	38.888889
"g11118"	50
"g11119"	7.738095
"g1112"	0
"g11120"	0
"g11121"	0
"g11122"	0
"g11123"	5.5555555
"g11124"	0
"g11125"	0
"g11126"	0
"g11127"	0
