"","PolyA_1101","PolyA_1548","PolyA_1628","RiboDep_1101","RiboDep_1548","RiboDep_1628"
"g8382",32,9,9,29,47,23
"g8388",10,4,5,14,44,37
"g8390",10,0,0,45,79,35
"g8394",3,0,0,7,37,13
"g8396",4,0,0,17,0,2
"g8404",0,0,0,26,8,5
"g8405",119,86,135,78,116,113
"g8415",507,328,363,32,31,55
"g8425",49,97,45,61,142,131
"g8439",1,3,0,12,40,27
"g8441",56,0,33,63,146,85
"g8452",1,0,0,4,5,6
"g8458",2,6,0,25,85,49
"g8454",0,0,0,29,29,25
"g8453",12,0,7,13,20,11
"g8455",8,0,15,13,14,29
"g8462",96,21,26,24,58,44
"g8465",95,39,101,54,96,58
"g8472",12,86,96,51,107,58
"g8482",21,13,8,38,23,16
"g8491",0,0,0,23,22,20
"g8496",9,6,4,10,22,16
"g8498",0,9,0,19,34,28
"g8502",6,0,0,100,114,97
"g8499",18,9,7,31,77,50
"g8524",6,6,2,26,27,20
"g8532",40,54,67,34,186,202
"g8544",1,0,0,8,5,0
"g8543",0,0,1,26,33,16
"g8545",9,0,17,9,19,16
"g8548",8,0,3,12,11,6
"g8549",0,0,0,14,28,9
"g8552",3,2,4,12,23,12
"g8547",5,7,5,17,37,23
"g8553",2,5,4,22,36,9
"g8555",22,97,13,41,142,92
"g8556",7,0,24,71,110,118
"g8533",2,0,1,10,11,9
"g8539",9,0,1,14,15,9
"g8541",45,10,15,45,20,32
"g8567",6,4,18,12,28,20
"g8563",33,40,48,21,40,50
"g8577",0,0,0,19,38,53
"g8579",253,235,136,15,27,26
"g8588",1,0,0,6,12,3
"g8590",243,314,200,66,207,118
"g8598",0,0,0,16,6,20
"g8595",1,0,0,9,9,29
"g8597",5,9,2,11,19,15
"g8609",58,70,42,16,66,66
"g8613",0,0,0,10,22,12
"g8614",0,5,2,45,114,92
"g8618",0,0,0,17,30,38
"g8619",0,0,6,19,31,31
"g8620",0,5,15,40,49,30
"g8623",3,86,33,46,62,69
"g8628",1,0,0,17,7,7
"g8633",446,276,162,106,131,114
"g8634",264,142,113,8,25,21
"g8648",11,13,28,31,33,35
"g8672",2,3,1,30,26,28
"g8673",0,0,0,39,77,49
"g8676",0,1,0,15,15,11
"g8677",0,1,7,26,26,17
"g8678",2,3,17,27,49,39
"g8684",20,7,21,34,52,56
"g8688",5,0,0,62,59,65
"g8696",4,0,0,7,23,11
"g8697",2,1,1,79,109,95
"g8705",4,0,0,45,49,61
"g8706",0,0,0,7,24,17
"g8691",1,0,2,8,0,5
"g8708",1,3,0,16,29,17
"g8734",2,0,0,20,11,21
"g8740",2,7,41,21,23,19
"g8764",1,0,7,24,68,53
"g8772",2,0,4,42,74,69
"g8771",0,0,0,56,88,132
"g8786",0,0,0,13,17,122
"g8785",2,0,0,13,9,41
"g8715",0,0,7,52,30,16
"g8714",10,0,13,80,60,44
"g8716",27,4,4,96,99,44
"g8720",13,0,17,39,41,22
"g8721",3,11,14,27,17,37
"g8795",111,25,29,25,31,30
"g8799",0,0,0,18,24,32
"g8806",56,41,36,37,39,40
"g8807",19,12,13,14,8,21
"g8824",0,0,0,7,14,11
"g8825",0,0,0,5,23,9
"g8823",7,19,14,12,9,13
"g8836",26,13,11,25,66,28
"g8834",10,3,2,10,10,5
"g8826",8,4,12,12,32,27
"g8829",20,13,3,22,26,16
"g8830",20,6,3,19,43,22
"g8831",38,3,2,36,70,18
"g8832",335,56,46,98,115,57
"g8845",0,0,0,42,17,37
"g8846",4,0,0,42,29,35
"g8849",10,0,0,28,0,20
"g8854",7,0,6,11,21,41
"g8852",36,22,42,23,51,50
"g8859",3,0,0,3,0,12
"g8867",2,8,6,23,27,16
"g8877",48,39,44,15,36,22
"g8881",7,5,4,89,166,89
"g8887",48,29,16,14,23,11
"g8889",0,0,0,23,39,13
"g8891",4,3,0,13,22,13
"g8892",19,1,0,38,49,34
"g8893",9,12,7,17,37,28
"g8899",34,23,31,36,41,41
"g8917",25,3,5,22,43,30
"g8925",46,64,49,19,24,34
"g8939",2,0,0,11,25,13
"g8944",0,0,0,27,59,20
"g8946",26,16,49,26,31,34
"g8998",7,0,0,59,161,100
"g9003",0,0,5,7,11,28
"g9006",1,1,0,7,9,16
"g8990",0,6,5,12,11,7
"g8994",0,3,0,8,31,8
"g8991",4,5,0,11,29,12
"g8992",22,30,16,11,21,10
"g9007",18,3,10,12,17,11
"g9010",275,57,83,141,206,174
"g9016",8,9,2,33,34,26
"g9017",31,24,10,57,38,40
"g9021",14,14,30,87,165,117
"g9022",0,3,0,6,15,9
"g9025",66,20,29,22,26,23
"g9020",23,7,0,111,149,157
"g9039",3,0,0,3,13,7
"g9038",3,4,1,57,57,28
"g9051",5,0,0,0,9,18
"g9073",0,0,0,9,19,10
"g9077",0,0,0,1,1,2
"g9079",0,0,0,1,2,2
"g9082",0,1,0,9,20,14
"g9085",0,2,0,17,15,8
"g9087",0,9,0,111,125,10
"g9080",1,0,1,3,4,6
"g9081",1,0,3,35,68,81
"g9088",3,6,17,5,14,10
"g9119",0,3,0,21,14,3
"g9124",7,0,4,11,7,6
"g9129",47,42,22,16,20,23
"g9130",177,185,169,108,151,145
"g9131",40,65,24,28,48,49
"g9155",70,24,33,15,20,22
"g9144",0,0,0,16,11,3
"g9146",0,0,0,8,8,10
"g9163",4,15,0,18,31,13
"g9171",0,0,0,13,51,8
"g9179",5,3,4,65,104,63
"g9191",0,0,0,25,35,21
"g9192",2,0,0,24,65,6
"g9193",16,13,0,52,82,61
"g9197",383,218,362,20,49,30
"g9199",28,0,0,20,13,30
"g9200",36,0,0,29,36,42
"g9201",96,13,0,79,132,132
"g9205",5,8,2,22,47,42
"g9215",13,20,15,54,102,81
"g9216",5,0,11,29,64,42
"g9221",54,52,8,21,27,24
"g9223",114,48,45,22,36,31
"g9227",4,2,2,17,30,19
"g9228",34,13,30,5,18,35
"g9229",19,11,1,19,37,21
"g9231",4,0,0,10,47,33
"g9232",34,23,41,39,47,34
"g9246",0,0,0,11,30,17
"g9245",12,0,0,9,15,10
"g9248",14,12,9,4,6,9
"g9251",67,83,59,37,46,40
"g9256",0,0,0,6,25,1
"g9257",6,0,0,15,39,27
"g9258",8,77,72,37,82,32
"g9296",0,0,0,4,5,2
"g9299",3,0,0,5,8,0
"g9303",4,0,0,9,17,17
"g9312",530,359,448,55,64,48
"g9319",5,21,11,18,11,15
"g9320",3,3,0,0,16,30
"g9327",1,0,3,33,63,42
"g9330",0,23,0,41,97,32
"g9339",0,0,2,20,31,27
"g9340",19,8,21,25,27,14
"g9348",0,0,0,23,43,32
"g9345",0,0,0,16,30,21
"g9347",22,17,15,20,27,19
"g9352",0,1,0,7,12,14
"g9351",5,0,0,7,12,12
"g9353",2,0,2,18,22,17
"g9354",4,11,4,7,12,5
"g9364",2,3,1,8,15,20
"g9391",0,15,37,19,43,56
"g9394",0,5,15,24,52,53
"g9392",4,10,3,13,48,50
"g9393",13,16,0,21,40,41
"g9404",0,0,0,16,18,20
"g9408",2,0,13,13,18,13
"g9419",1,0,0,0,15,11
"g9426",0,0,0,17,25,23
"g9434",7,1,0,18,11,16
"g9410",164,11,103,192,89,352
"g9435",3,0,0,12,20,11
"g9462",7,0,6,40,7,11
"g9497",4,2,0,19,32,50
"g9521",0,15,32,20,23,54
"g9522",12,18,24,99,134,114
"g9525",9,0,18,17,11,12
"g9526",4,5,5,2,6,5
"g9530",5,0,0,6,36,24
"g9529",12,0,0,9,8,11
"g9544",2,0,6,18,23,23
"g9554",143,145,101,64,71,83
"g9555",252,194,236,85,106,101
"g9556",2126,1257,1651,140,202,202
"g9560",5,0,0,35,64,62
"g9558",0,0,0,88,435,525
"g9559",56,29,0,27,57,27
"g9569",479,419,497,26,80,63
"g9588",0,0,0,23,70,43
"g9589",4,10,1,16,32,25
"g9594",6,7,0,27,24,23
"g9618",7,0,6,10,0,23
"g9619",1,0,0,13,5,7
"g9620",2,0,0,16,28,18
"g9621",8,0,0,43,51,41
"g9631",4,2,7,7,22,12
"g9629",129,93,68,69,66,56
"g9644",12,3,11,4,11,12
"g9650",0,0,0,9,10,12
"g9671",0,0,0,17,37,29
"g9663",6,0,4,13,81,63
"g9664",4,0,0,0,21,36
"g9675",4,2,4,24,27,23
"g9679",0,0,0,4,5,5
"g9680",2,1,0,4,0,7
"g9677",36,24,6,35,47,31
"g9681",42,10,1,24,15,10
"g9683",1,1,0,6,6,17
"g9684",1,2,2,3,5,9
"g9691",4,2,0,2,6,32
"g9692",8,1,0,15,19,13
"g9704",28,76,70,20,52,30
"g9706",4,6,6,12,27,24
"g9707",7,18,0,32,47,34
"g9708",3,18,5,84,149,37
"g9722",8,14,18,5,10,13
"g9737",5,0,5,4,16,7
"g9743",5,5,13,6,19,38
"g9744",1,1,1,6,21,30
"g9739",9,6,0,20,16,24
"g9741",27,8,3,50,66,48
"g9745",10,11,9,26,63,12
"g9748",1,0,4,16,40,18
"g9750",0,0,0,19,4,11
"g9758",93,77,50,25,63,52
"g9761",22,13,28,16,37,41
"g9762",5,0,10,16,37,55
"g9764",0,5,14,6,10,27
"g9763",140,37,76,23,47,87
"g9780",13,0,22,54,46,91
"g9779",3,11,3,9,22,18
"g9785",0,21,0,35,52,53
"g9788",2,11,4,10,25,17
"g9789",14,23,12,46,110,70
"g9795",0,5,5,30,46,23
"g9794",2,3,0,24,49,24
"g9796",1,0,1,10,36,17
"g9798",0,0,0,20,42,14
"g9802",153,49,74,47,135,146
"g9806",3,3,2,17,6,8
"g9816",19,9,37,23,40,50
"g9831",109,53,35,23,68,30
"g9830",993,858,618,69,139,80
"g9835",0,0,0,30,64,39
"g9837",0,2,0,34,50,41
"g9839",38,14,38,76,59,62
"g9852",1,0,0,3,3,2
"g9849",39,29,34,46,31,55
"g9851",0,0,0,12,8,12
"g9867",3,0,0,10,6,19
"g9866",7,0,0,40,43,43
"g9869",0,3,7,61,110,157
"g9873",8,3,11,4,19,4
"g9875",0,0,0,27,50,21
"g9876",2,0,1,7,24,10
"g9878",0,11,0,36,77,53
"g9877",4,17,2,16,27,13
"g9891",1,0,6,5,7,10
"g9889",0,0,0,6,11,13
"g9880",31,5,0,22,49,36
"g9885",8,0,18,69,139,226
"g9886",3,0,0,22,58,43
"g9894",6,1,42,45,53,102
"g9895",9,2,2,4,7,7
"g9899",6,4,0,81,71,59
"g9900",7,8,2,28,38,24
"g9907",0,0,0,3,65,12
"g9915",0,0,0,1,4,3
"g9916",0,0,0,3,3,3
"g9917",4,10,0,37,104,55
"g9919",0,13,5,24,56,34
"g9922",0,0,0,8,31,16
"g9943",301,452,351,34,48,38
"g9948",0,0,1,3,5,6
"g9955",14,0,0,12,23,12
"g9972",23,5,11,15,10,10
"g9974",19,0,5,10,25,19
"g9992",0,0,0,10,36,24
"g9984",1,0,0,7,15,14
"g9985",1,0,0,6,13,7
"g9986",1,6,12,12,30,30
"g9987",1,5,3,24,31,52
"g9990",534,238,253,76,124,148
"g9995",6,3,0,25,62,52
"g10002",6,0,0,23,30,27
"g10009",4,0,0,38,108,77
"g10014",12,0,0,28,31,21
"g10016",4,0,0,22,51,32
"g10017",13,0,1,63,55,48
"g10020",0,0,0,3,23,22
"g10022",3,0,0,10,44,26
"g10049",6,0,1,18,20,28
"g10026",0,0,0,12,27,28
"g10027",0,9,17,41,38,51
"g10028",0,0,6,7,8,21
"g10030",0,0,0,2,2,6
"g10031",0,0,0,6,6,22
"g10032",0,0,0,2,5,8
"g10035",0,0,0,4,7,8
"g10036",0,0,0,21,22,24
"g10043",0,0,3,18,64,57
"g10046",0,0,0,5,7,7
"g10047",0,0,0,3,8,4
"g10048",0,0,0,14,11,3
"g10029",8,0,2,6,11,5
"g10037",5,0,0,4,9,11
"g10040",2,0,0,6,11,12
"g10061",13,5,0,41,31,39
"g10071",3,4,5,4,16,5
"g10064",33,58,25,21,22,38
"g10077",13,22,30,34,31,24
"g10075",390,294,226,73,126,92
"g10080",57,4,22,33,45,54
"g10081",72,24,36,19,24,25
"g10107",0,0,0,82,132,121
"g10097",1,1,1,6,11,9
"g10098",2,0,1,6,10,10
"g10099",3,1,4,11,21,18
"g10100",12,10,12,44,124,73
"g10101",2,4,0,12,30,17
"g10126",0,0,0,3,37,33
"g10127",0,10,0,31,67,73
"g10128",0,3,0,2,6,13
"g10125",2,7,12,4,23,19
"g10129",4,5,0,21,33,12
"g10130",0,0,0,11,29,13
"g10137",8,12,0,7,28,12
"g10139",252,142,53,59,92,58
"g10141",462,341,308,99,243,159
"g10150",1,16,22,18,31,16
"g10146",0,0,0,7,51,33
"g10147",0,0,11,13,38,30
"g10151",2,0,1,45,17,12
"g10152",1,0,0,13,12,9
"g10159",1,0,0,6,0,1
"g10157",74,0,0,93,67,30
"g10161",10,5,3,19,22,22
"g10162",0,0,2,12,18,34
"g10163",0,0,0,19,16,20
"g10168",0,5,2,90,43,69
"g10171",3,16,3,44,33,6
"g10176",5,1,0,44,24,19
"g10177",0,42,1,64,64,24
"g10181",15,20,9,56,97,75
"g10182",0,0,0,17,25,14
"g10183",21,22,36,28,56,40
"g10195",7,5,8,15,58,36
"g10209",9,23,12,19,53,21
"g10210",11,19,25,42,108,47
"g10220",4,1,7,4,12,11
"g10221",117,69,100,42,77,72
"g10224",4,3,0,9,13,10
"g10235",36,0,10,42,20,35
"g10239",1,0,2,22,19,19
"g10241",3,13,5,46,52,99
"g10243",41,15,24,14,43,33
"g10245",2,0,0,10,26,19
"g10246",7,9,0,10,17,14
"g10253",1,0,0,17,15,14
"g10254",3,5,2,47,56,41
"g10255",156,199,202,11,29,21
"g10258",0,6,0,32,45,28
"g10263",3,0,4,31,56,44
"g10259",6,0,0,16,34,10
"g10260",3,3,11,10,17,7
"g10265",11,0,31,36,36,22
"g10271",0,0,0,14,7,15
"g10269",32,3,16,18,64,62
"g10282",0,0,0,20,14,26
"g10279",0,0,1,13,18,25
"g10278",3,0,0,20,34,47
"g10287",0,0,4,20,52,37
"g10294",26,18,25,15,46,21
"g10292",10,12,2,23,30,35
"g10299",69,45,169,54,45,62
"g10300",48,46,45,25,27,45
"g10308",2,0,0,10,20,9
"g10309",1,0,0,19,38,30
"g10310",14,10,6,17,34,23
"g10332",0,0,0,52,61,38
"g10319",0,0,0,6,4,7
"g10320",0,0,0,20,33,15
"g10321",0,0,0,28,72,73
"g10323",0,0,0,5,18,6
"g10324",0,0,0,8,16,13
"g10325",0,0,0,4,14,9
"g10316",11,9,2,25,41,15
"g10317",2,2,2,6,5,3
"g10346",1,3,0,15,31,31
"g10345",8,7,0,63,106,92
"g10347",0,0,0,12,11,19
"g10348",0,0,0,20,8,11
"g10349",8,15,7,24,21,30
"g10351",15,9,15,13,20,23
"g10336",5,0,0,33,52,26
"g10365",0,14,8,43,73,87
"g10364",0,14,0,58,85,81
"g10366",9,7,7,68,86,74
"g10380",309,128,121,125,165,110
"g10384",23,26,14,7,19,11
"g10385",746,359,403,46,63,76
"g10389",10,11,19,30,59,49
"g10397",0,0,0,2,7,2
"g10395",12,0,0,34,40,22
"g10398",80,43,79,32,35,23
"g10402",12,10,19,5,15,14
"g10403",1,2,5,7,13,8
"g10414",0,6,0,37,88,75
"g10416",51,124,31,84,151,119
"g10433",8,0,6,43,85,62
"g10434",1,1,0,8,22,17
"g10438",3,0,0,50,82,64
"g10469",12,3,7,7,22,13
"g10471",8,0,3,40,59,55
"g10474",128,33,97,44,109,92
"g10477",0,0,0,6,18,11
"g10478",0,3,0,23,38,27
"g10490",0,0,0,24,30,41
"g10494",24,16,68,15,30,26
"g10496",0,0,0,11,28,35
"g10495",2,0,0,6,8,10
"g10499",7,5,7,73,135,111
"g10508",0,0,0,10,22,32
"g10518",2,7,23,52,134,96
"g10516",8,0,13,130,144,145
"g10522",5,0,8,8,9,10
"g10530",2,0,1,15,36,18
"g10532",13,0,5,89,112,105
"g10534",22,0,5,33,45,33
"g10539",6,1,9,8,12,13
"g10536",167,13,45,86,103,113
"g10546",75,20,28,22,30,35
"g10550",8,58,7,21,54,19
"g10556",0,0,0,9,6,8
"g10570",30,34,3,21,32,38
"g10560",0,0,0,11,27,23
"g10561",0,0,0,85,102,125
"g10564",0,0,0,3,12,12
"g10565",0,0,0,5,52,51
"g10559",12,5,0,22,9,23
"g10566",3,0,0,14,78,81
"g10580",68,42,101,29,58,52
"g10586",15,0,14,29,56,38
"g10583",51,22,38,31,40,16
"g10589",0,0,5,11,27,16
"g10588",3,0,6,8,20,10
"g10595",1,6,2,3,12,3
"g10599",5,11,3,11,6,16
"g10600",101,52,67,26,37,33
"g10602",0,0,0,19,39,24
"g10619",0,0,0,18,23,25
"g10630",1,1,10,25,46,62
"g10634",0,0,0,16,27,43
"g10641",51,24,47,31,68,69
"g10657",108,32,84,83,127,100
"g10663",7,7,5,38,56,28
"g10667",15,0,4,27,60,57
"g10668",8,0,3,5,11,10
"g10669",2,0,0,3,6,3
"g10672",10,25,10,37,47,32
"g10673",33,29,11,26,32,15
"g10675",1,1,0,3,17,8
"g10677",2,12,15,14,22,20
"g10678",85,114,39,23,72,39
"g10696",8,9,0,55,71,58
"g10718",4,4,0,16,28,12
"g10720",2,3,0,3,33,35
"g10732",7,20,0,13,18,14
"g10739",5,4,2,11,8,9
"g10743",0,0,0,18,26,19
"g10744",0,0,0,2,3,4
"g10746",0,0,0,13,22,9
"g10748",0,0,0,21,26,11
"g10749",0,0,0,12,28,18
"g10750",0,0,0,15,9,11
"g10755",0,0,0,19,9,7
"g10751",36,33,8,16,26,30
"g10757",83,66,48,21,31,26
"g10767",2,0,0,7,11,15
"g10764",0,0,1,22,28,30
"g10763",29,2,19,73,102,94
"g10781",2,0,0,4,5,5
"g10790",2,0,0,39,22,19
"g10792",2,0,0,49,12,12
"g10805",1,0,0,9,18,7
"g10797",0,0,0,2,3,2
"g10799",0,0,0,1,1,3
"g10794",1,0,0,12,15,18
"g10796",2,3,0,12,19,9
"g10801",2,0,0,14,5,8
"g10808",80,15,61,32,40,46
"g10818",4,5,4,45,139,81
"g10845",0,0,0,24,78,29
"g10853",0,0,0,31,72,27
"g10832",0,0,0,6,20,3
"g10833",0,0,3,10,8,6
"g10836",5,0,0,29,37,27
"g10837",2,0,0,9,15,13
"g10862",0,0,0,2,2,4
"g10873",31,2,8,18,24,33
"g10889",4,1,1,25,38,30
"g10892",9,0,0,31,54,23
"g10893",3,0,0,10,15,9
"g10907",10,0,9,47,44,36
"g10906",28,12,43,29,62,63
"g10909",0,0,0,18,35,21
"g10913",38,29,31,20,23,14
"g10926",9,15,6,23,47,44
"g10920",0,0,0,11,27,14
"g10924",0,0,0,5,6,8
"g10919",4,18,0,17,42,20
"g10937",0,0,0,15,24,13
"g10938",0,0,0,16,11,8
"g10939",0,0,0,7,2,3
"g10940",0,2,0,5,10,20
"g10945",64,70,17,33,49,46
"g10944",2272,1280,1127,155,196,152
"g10975",0,0,0,5,3,14
"g10977",8,12,10,34,40,125
"g10991",16,0,0,4,14,16
"g10999",4,2,2,10,20,17
"g11005",5,0,0,31,29,29
"g11007",2,1,7,19,24,20
"g11008",1,0,0,9,3,4
"g11009",7,0,5,23,14,19
"g11012",1,0,0,5,7,6
"g11022",2,0,0,11,13,15
"g11018",0,0,0,18,18,22
"g11017",5,3,18,8,12,43
"g11019",9,7,3,11,15,20
"g11023",133,50,42,45,91,96
"g11027",0,0,0,18,8,15
"g11032",3,0,0,13,16,16
"g11029",11,1,16,29,42,74
"g11030",1,0,0,8,16,24
"g11042",9,2,0,37,24,18
"g11043",23,0,0,31,29,36
"g11045",11,0,0,23,23,15
"g11052",2,5,6,28,37,41
"g11063",16,0,2,17,24,22
"g11064",20,0,1,12,32,15
"g11065",5,0,0,0,23,15
"g11067",17,23,12,30,34,15
"g11068",5,0,0,13,20,14
"g11069",0,0,0,17,58,41
"g11071",0,0,0,25,25,38
"g11070",2,0,1,24,32,36
"g11073",24,11,19,52,127,98
"g11076",3,0,7,23,34,38
"g11077",24,9,17,68,109,83
"g11074",0,0,2,18,21,19
"g11075",109,57,111,58,57,58
"g11115",6,3,4,0,40,70
"g11114",23,12,18,52,64,65
"g11117",1,2,3,1,7,13
"g11121",27,18,11,14,32,22
"g11124",0,7,0,8,56,4
"g11132",0,34,10,19,46,46
"g11126",7,6,9,5,6,4
"g11131",1,0,5,4,13,8
"g11133",5,2,0,42,54,44
"g11134",10,22,0,48,210,32
"g11155",4,0,0,75,109,81
"g11174",3,0,0,33,64,58
"g11178",0,0,0,18,70,55
"g11187",4,2,0,0,59,0
"g11192",2,0,0,14,20,15
"g11200",1,0,0,8,24,13
"g11198",6,0,2,6,9,7
"g11214",1,0,1,20,27,28
"g11215",3,7,0,64,145,86
"g11221",1,6,0,10,23,12
"g11222",0,0,0,14,29,24
"g11231",49,32,23,28,80,59
"g11235",3,11,9,27,39,42
"g11237",90,55,44,46,76,59
"g11233",2836,851,1327,132,183,197
"g11241",233,282,145,98,128,81
"g11244",7,4,3,32,47,48
"g11247",234,121,170,14,19,24
"g11258",0,2,0,18,20,15
"g11262",4,0,0,20,26,39
"g11276",3,0,0,8,14,0
"g11281",3,0,0,23,62,48
"g11297",5,0,0,12,15,7
"g11296",29,5,0,12,18,10
"g11311",32,3,78,44,106,65
"g11313",7,0,0,68,163,136
"g11314",0,0,0,71,83,78
"g11328",1,0,2,19,28,13
"g11345",1,0,0,6,11,8
"g11383",3,14,2,5,33,9
"g11385",8,2,9,18,18,3
"g11386",137,70,50,52,35,28
"g11380",0,0,0,7,23,3
"g11373",2,0,2,9,15,19
"g11375",3,8,7,18,30,14
"g11381",2,0,0,15,44,37
"g11390",24,2,0,17,36,13
"g11391",43,26,38,17,74,75
"g11394",5,20,0,66,34,24
"g11402",0,0,0,24,67,53
"g11405",2,0,1,5,14,13
"g11406",0,0,0,9,5,11
"g11392",76,58,74,24,33,46
"g11409",4,1,0,11,26,14
"g11413",23,9,9,15,24,18
"g11421",0,15,0,40,52,35
"g11423",5,0,4,28,50,25
"g11424",4,0,4,17,18,20
"g11443",0,0,0,8,11,9
"g11445",3,4,3,10,13,28
"g11432",0,0,0,43,101,22
"g11433",0,0,0,131,182,59
"g11435",0,4,11,16,27,5
"g11439",0,0,0,15,19,14
"g11434",17,9,11,54,59,26
"g11436",6,0,0,14,9,10
"g11448",38,20,21,149,153,275
"g11461",0,0,0,17,31,23
"g11468",3,0,1,6,17,5
"g11467",35,33,34,18,35,31
"g11474",3,1,3,15,34,15
"g11476",0,0,0,4,25,9
"g11475",8,13,0,48,84,13
"g11494",0,0,0,15,24,11
"g11493",3,2,0,8,10,1
"g11495",18,7,0,11,21,9
"g11486",0,0,0,5,7,2
"g11487",0,0,0,5,6,7
"g11489",0,8,9,22,21,26
"g11481",5,0,4,22,14,17
"g11482",12,2,15,11,4,8
"g11483",10,0,5,9,9,9
"g11505",0,0,6,49,78,5
"g11503",0,0,4,9,5,9
"g11496",5,11,0,20,32,14
"g11508",5,0,0,30,7,22
"g11509",1,7,0,9,4,12
"g11510",22,3,2,19,8,20
"g11511",23,6,2,15,29,26
"g11521",3,3,2,14,19,13
"g11522",1,5,11,3,21,10
"g11527",4,6,14,9,15,6
"g11529",0,0,0,3,7,3
"g11530",8,0,2,11,21,12
"g11532",0,0,0,11,26,21
"g11542",2,0,0,2,11,12
"g11543",6,3,10,8,29,28
"g11541",24,13,44,14,36,41
"g11545",3,6,7,18,34,49
"g11544",105,45,72,23,34,31
"g11547",5,40,30,21,94,97
"g11548",15,0,8,27,34,45
"g11550",101,87,33,31,76,31
"g11561",19,0,0,38,23,16
"g11564",9,0,15,42,30,31
"g11568",0,0,0,40,19,44
"g11565",53,0,5,27,21,31
"g11566",38,2,12,36,19,23
"g11567",3,6,0,81,70,116
"g11569",14,8,9,149,87,164
"g11573",10,12,13,150,90,175
"g11575",0,3,0,59,66,84
"g11574",3,4,3,61,57,87
"g11579",0,0,0,6,9,9
"g11578",3,0,19,10,17,10
"g11585",0,0,2,12,13,21
"g11586",1,0,0,15,12,16
"g11600",6,14,50,17,39,44
"g11596",17,11,8,8,12,13
"g11611",16,72,47,23,63,29
"g11626",6,1,5,4,9,8
"g11628",60,37,46,21,55,49
"g11629",52,54,58,31,94,86
"g11667",2,0,0,16,15,20
"g11672",0,3,2,18,20,23
"g11671",1,0,0,22,28,16
"g11685",0,8,2,58,32,36
"g11684",5,0,0,38,17,27
"g11686",38,30,39,74,59,53
"g11703",0,0,0,183,132,278
"g11702",2,0,0,111,91,207
"g11700",7,8,0,21,38,17
"g11708",0,0,0,41,25,26
"g11709",8,0,0,7,7,9
"g11716",0,0,7,57,60,74
"g11729",0,13,0,73,125,129
"g11728",8,8,19,23,59,45
"g11740",0,0,0,3,7,7
"g11742",0,5,2,17,51,41
"g11744",0,0,0,24,24,11
"g11743",1,0,6,21,32,38
"g11763",2,0,0,3,3,5
"g11776",0,0,0,32,51,36
"g11777",4,5,3,24,23,13
"g11778",7,5,2,36,42,26
"g11780",2,0,0,32,86,21
"g11781",27,13,13,61,82,40
"g11782",47,32,25,59,56,45
"g11784",2,0,0,6,47,12
"g11766",0,0,0,22,9,10
"g11767",0,0,0,25,2,2
"g11772",9,24,20,46,110,60
"g11793",0,6,0,4,15,15
"g11795",314,191,162,17,36,14
"g11802",0,0,0,12,14,12
"g11800",0,0,0,3,10,6
"g11799",28,24,5,28,39,39
"g11801",1153,530,1048,201,427,372
"g11814",0,5,15,64,97,90
"g11815",15,0,12,46,12,27
"g11823",0,13,0,17,73,17
"g11836",74,78,28,49,122,72
"g11829",0,0,0,3,6,2
"g11831",0,0,0,7,14,11
"g11832",0,0,0,9,23,30
"g11833",0,0,0,12,7,8
"g11830",15,7,13,17,40,31
"g11838",53,38,82,19,38,31
"g11842",5,0,0,38,53,60
"g11858",0,0,0,7,12,8
"g11879",3,0,0,9,9,5
"g11871",90,51,25,28,36,48
"g11877",16,3,4,72,77,77
"g11887",59,9,24,14,19,18
"g11888",5,13,12,19,24,18
"g11889",100,49,38,43,53,41
"g11895",2,2,1,11,6,11
"g11896",12,0,0,19,18,37
"g11916",0,10,10,2,21,29
"g11923",4,0,7,10,23,23
"g11924",0,0,0,16,57,23
"g11921",7,0,12,11,20,11
"g11927",0,17,0,118,196,134
"g11930",25,5,6,15,35,7
"g11934",20,41,24,18,30,26
"g11935",2,0,0,65,75,73
"g11952",8,4,6,11,31,20
"g11954",68,32,78,28,36,30
"g11955",12,45,17,18,21,23
"g11957",292,180,266,26,21,30
"g11959",8,4,4,53,90,76
"g11966",422,396,258,24,46,41
"g11972",6,5,14,9,20,19
"g11980",40,7,26,10,17,16
"g11981",43,34,68,44,41,32
"g11982",78,51,123,56,58,74
"g12001",3,0,0,12,20,14
"g12002",3,1,0,11,9,8
"g12015",0,0,0,3,11,14
"g12016",0,0,0,13,5,15
"g12018",0,0,0,8,22,19
"g12019",0,0,0,2,1,9
"g12021",0,0,0,4,14,7
"g12020",10,39,5,10,17,21
"g12038",0,3,0,34,32,24
"g12039",5,0,0,16,32,30
"g12040",0,0,11,23,65,28
"g12041",16,0,9,21,83,42
"g12055",0,0,0,30,53,39
"g12058",6,0,0,0,13,18
"g12059",1050,638,385,153,327,270
"g12066",55,79,72,25,72,49
"g12070",69,33,23,35,80,69
"g12071",14,12,4,49,94,61
"g12085",0,0,13,14,19,28
"g12089",1,0,0,5,10,4
"g12086",16,1,1,14,6,13
"g12093",6,0,2,3,11,3
"g12094",2,2,0,6,10,4
"g12095",2,0,0,13,18,43
"g12102",40,48,136,42,60,70
"g12103",2,0,0,22,22,23
"g12110",0,0,0,38,52,36
"g12114",9,3,26,39,55,61
"g12115",10,4,6,40,53,63
"g12118",11,17,6,14,20,27
"g12117",91,25,89,138,156,195
"g12121",1,4,1,16,27,30
"g12122",12,6,21,8,15,14
